benchmark,category,requirement,id,name,policy_id,description,effects,github_link,github_version
CIS,Security Center,Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',2.11,Auto provisioning of the Log Analytics agent should be enabled on your subscription,475aae12-b88a-4572-8b36-9b712b2b3a17,"To monitor for security vulnerabilities and threats, Azure Security Center collects data from your Azure virtual machines. Data is collected by the Log Analytics agent, formerly known as the Microsoft Monitoring Agent (MMA), which reads various security-related configurations and event logs from the machine and copies the data to your Log Analytics workspace for analysis. We recommend enabling auto provisioning to automatically deploy the agent to all supported Azure VMs and any new ones that are created.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Automatic_provisioning_log_analytics_monitoring_agent.json,1.0.1
CIS,Security Center,Ensure 'Additional email addresses' is configured with a security contact email,2.13,Subscriptions should have a contact email address for security issues,4f4f78b8-e367-4b10-a341-d9a4ad5cf1c7,"To ensure the relevant people in your organization are notified when there is a potential security breach in one of your subscriptions, set a security contact to receive email notifications from Security Center.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Security_contact_email.json,1.0.1
CIS,Security Center,Ensure that 'Notify about alerts with the following severity' is set to 'High',2.14,Email notification for high severity alerts should be enabled,6e2593d9-add6-4083-9c9b-4b7d2188c899,"To ensure the relevant people in your organization are notified when there is a potential security breach in one of your subscriptions, enable email notifications for high severity alerts in Security Center.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Email_notification.json,1.0.1
CIS,Storage Accounts,Ensure that 'Secure transfer required' is set to 'Enabled',3.1,Secure transfer to storage accounts should be enabled,404c3081-a854-4457-ae30-26a93ef643f9,"Audit requirement of Secure transfer in your storage account. Secure transfer is an option that forces your storage account to accept requests only from secure connections (HTTPS). Use of HTTPS ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking","Audit, Deny, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/Storage_AuditForHTTPSEnabled_Audit.json,2.0.0
CIS,Storage Accounts,Ensure that 'Public access level' is set to Private for blob containers,3.5,Storage account public access should be disallowed,4fa4b6c0-31ca-4c0d-b10d-24b96f62a751,"Anonymous public read access to containers and blobs in Azure Storage is a convenient way to share data but might present security risks. To prevent data breaches caused by undesired anonymous access, Microsoft recommends preventing public access to a storage account unless your scenario requires it.","audit, deny, disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/ASC_Storage_DisallowPublicBlobAccess_Audit.json,2.0.1-preview
CIS,Storage Accounts,Ensure default network access rule for Storage Accounts is set to deny,3.6,Storage accounts should restrict network access,34c877ad-507e-4c82-993e-3452a6e0ad3c,"Network access to storage accounts should be restricted. Configure network rules so only applications from allowed networks can access the storage account. To allow connections from specific internet or on-premises clients, access can be granted to traffic from specific Azure virtual networks or to public internet IP address ranges","Audit, Deny, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/Storage_NetworkAcls_Audit.json,1.1.1
CIS,Storage Accounts,Ensure default network access rule for Storage Accounts is set to deny,3.6,Storage accounts should restrict network access using virtual network rules,2a1a9cdf-e04d-429a-8416-3bfb72a1b26f,Protect your storage accounts from potential threats using virtual network rules as a preferred method instead of IP-based filtering. Disabling IP-based filtering prevents public IPs from accessing your storage accounts.,"Audit, Deny, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccountOnlyVnetRulesEnabled_Audit.json,1.0.1
CIS,Storage Accounts,Ensure 'Trusted Microsoft Services' is enabled for Storage Account access,3.7,Storage accounts should allow access from trusted Microsoft services,c9d007d0-c057-4772-b18c-01e546713bcd,"Some Microsoft services that interact with storage accounts operate from networks that can't be granted access through network rules. To help this type of service work as intended, allow the set of trusted Microsoft services to bypass the network rules. These services will then use strong authentication to access the storage account.","Audit, Deny, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccess_TrustedMicrosoftServices_Audit.json,1.0.0
CIS,Storage Accounts,Ensure storage for critical data are encrypted with Customer Managed Key,3.9,Storage accounts should use customer-managed key for encryption,6fac406b-40ca-413b-bf8e-0bf964659c25,"Secure your storage account with greater flexibility using customer-managed keys. When you specify a customer-managed key, that key is used to protect and control access to the key that encrypts your data. Using customer-managed keys provides additional capabilities to control rotation of the key encryption key or cryptographically erase data.","Audit, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccountCustomerManagedKeyEnabled_Audit.json,1.0.2
CIS,Database Services,Ensure that 'Auditing' is set to 'On',4.1.1,Auditing on SQL server should be enabled,a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,Auditing on your SQL Server should be enabled to track database activities across all databases on the server and save them in an audit log.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServerAuditing_Audit.json,2.0.0
CIS,Database Services,Ensure that 'Data encryption' is set to 'On' on a SQL Database,4.1.2,Transparent Data Encryption on SQL databases should be enabled,17k78e20-9358-41c9-923c-fb736d382a12,Transparent data encryption should be enabled to protect data-at-rest and meet compliance requirements,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlDBEncryption_Audit.json,1.0.0
CIS,Database Services,Ensure that 'Auditing' Retention is 'greater than 90 days',4.1.3,SQL servers should be configured with 90 days auditing retention or higher,89099bee-89e0-4b26-a5f4-165451757743,SQL servers should be configured with 90 days auditing retention or higher.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServerAuditingRetentionDays_Audit.json,2.0.1
CIS,Database Services,Ensure that Advanced Threat Protection (ATP) on a SQL server is set to 'Enabled',4.2.1,Advanced data security should be enabled on SQL Managed Instance,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9,Audit each SQL Managed Instance without advanced data security.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlManagedInstance_AdvancedDataSecurity_Audit.json,1.0.1
CIS,Database Services,Ensure that Advanced Threat Protection (ATP) on a SQL server is set to 'Enabled',4.2.1,Advanced data security should be enabled on your SQL servers,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,Audit SQL servers without Advanced Data Security,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_AdvancedDataSecurity_Audit.json,2.0.0
CIS,Database Services,Ensure that Vulnerability Assessment (VA) is enabled on a SQL server by setting a Storage Account,4.2.2,Vulnerability assessment should be enabled on SQL Managed Instance,1b7aa243-30e4-4c9e-bca8-d0d3022b634a,"Audit each SQL Managed Instance which doesn't have recurring vulnerability assessment scans enabled. Vulnerability assessment can discover, track, and help you remediate potential database vulnerabilities.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/VulnerabilityAssessmentOnManagedInstance_Audit.json,1.0.1
CIS,Database Services,Ensure that Vulnerability Assessment (VA) is enabled on a SQL server by setting a Storage Account,4.2.2,Vulnerability assessment should be enabled on your SQL servers,ef2a8f2a-b3d9-49cd-a8a8-9a3aaaf647d9,"Audit Azure SQL servers which do not have recurring vulnerability assessment scans enabled. Vulnerability assessment can discover, track, and help you remediate potential database vulnerabilities.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/VulnerabilityAssessmentOnServer_Audit.json,2.0.0
CIS,Database Services,Ensure that VA setting Send scan reports to is configured for a SQL server,4.2.4,Vulnerability Assessment settings for SQL server should contain an email address to receive scan reports,057d6cfe-9c4f-4a6d-bc60-14420ea1f1a9,Ensure that an email address is provided for the 'Send scan reports to' field in the Vulnerability Assessment settings. This email address receives scan result summary after a periodic scan runs on SQL servers.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_VulnerabilityAssessmentEmails_Audit.json,2.0.0
CIS,Database Services,Ensure 'Enforce SSL connection' is set to 'ENABLED' for PostgreSQL Database Server,4.3.1,Enforce SSL connection should be enabled for MySQL database servers,e802a67a-daf5-4436-9ea6-f6d821dd0c5d,Azure Database for MySQL supports connecting your Azure Database for MySQL server to client applications using Secure Sockets Layer (SSL). Enforcing SSL connections between your database server and your client applications helps protect against 'man in the middle' attacks by encrypting the data stream between the server and your application. This configuration enforces that SSL is always enabled for accessing your database server.,"Audit, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MySQL_EnableSSL_Audit.json,1.0.1
CIS,Database Services,Ensure 'Enforce SSL connection' is set to 'ENABLED' for MySQL Database Server,4.3.2,Enforce SSL connection should be enabled for PostgreSQL database servers,d158790f-bfb0-486c-8631-2dc6b4e8e6af,Azure Database for PostgreSQL supports connecting your Azure Database for PostgreSQL server to client applications using Secure Sockets Layer (SSL). Enforcing SSL connections between your database server and your client applications helps protect against 'man in the middle' attacks by encrypting the data stream between the server and your application. This configuration enforces that SSL is always enabled for accessing your database server.,"Audit, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnableSSL_Audit.json,1.0.1
CIS,Database Services,Ensure server parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,4.3.3,Log checkpoints should be enabled for PostgreSQL database servers,eb6f77b9-bd53-4e35-a23d-7f65d5f0e43d,This policy helps audit any PostgreSQL databases in your environment without log_checkpoints setting enabled.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnableLogCheckpoint_Audit.json,1.0.0
CIS,Database Services,Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server,4.3.4,Log connections should be enabled for PostgreSQL database servers,eb6f77b9-bd53-4e35-a23d-7f65d5f0e442,This policy helps audit any PostgreSQL databases in your environment without log_connections setting enabled.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnableLogConnections_Audit.json,1.0.0
CIS,Database Services,Ensure server parameter 'log_disconnections' is set to 'ON' for PostgreSQL Database Server,4.3.5,Disconnections should be logged for PostgreSQL database servers.,eb6f77b9-bd53-4e35-a23d-7f65d5f0e446,This policy helps audit any PostgreSQL databases in your environment without log_disconnections enabled.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnableLogDisconnections_Audit.json,1.0.0
CIS,Database Services,Ensure server parameter 'connection_throttling' is set to 'ON' for PostgreSQL Database Server,4.3.6,Connection throttling should be enabled for PostgreSQL database servers,5345bb39-67dc-4960-a1bf-427e16b9a0bd,This policy helps audit any PostgreSQL databases in your environment without Connection throttling enabled. This setting enables temporary connection throttling per IP for too many invalid password login failures.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_ConnectionThrottling_Enabled_Audit.json,1.0.0
CIS,Database Services,Ensure that Azure Active Directory Admin is configured,4.4,An Azure Active Directory administrator should be provisioned for SQL servers,1f314764-cb73-4fc9-b863-8eca98ac36e9,Audit provisioning of an Azure Active Directory administrator for your SQL server to enable Azure AD authentication. Azure AD authentication enables simplified permission management and centralized identity management of database users and other Microsoft services,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SQL_DB_AuditServerADAdmins_Audit.json,1.0.0
CIS,Database Services,Ensure SQL server's TDE protector is encrypted with Customer-managed key,4.5,SQL managed instances should use customer-managed keys to encrypt data at rest,048248b0-55cd-46da-b1ff-39efd52db260,"Implementing Transparent Data Encryption (TDE) with your own key provides you with increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties. This recommendation applies to organizations with a related compliance requirement.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlManagedInstance_EnsureServerTDEisEncryptedWithYourOwnKey_Audit.json,1.0.2
CIS,Database Services,Ensure SQL server's TDE protector is encrypted with Customer-managed key,4.5,SQL servers should use customer-managed keys to encrypt data at rest,0d134df8-db83-46fb-ad72-fe0c9428c8dd,"Implementing Transparent Data Encryption (TDE) with your own key provides increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties. This recommendation applies to organizations with a related compliance requirement.","AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_EnsureServerTDEisEncryptedWithYourOwnKey_Audit.json,2.0.1
CIS,Logging and Monitoring,Ensure the storage container storing the activity logs is not publicly accessible,5.1.3,Storage account public access should be disallowed,4fa4b6c0-31ca-4c0d-b10d-24b96f62a751,"Anonymous public read access to containers and blobs in Azure Storage is a convenient way to share data but might present security risks. To prevent data breaches caused by undesired anonymous access, Microsoft recommends preventing public access to a storage account unless your scenario requires it.","audit, deny, disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/ASC_Storage_DisallowPublicBlobAccess_Audit.json,2.0.1-preview
CIS,Logging and Monitoring,Ensure the storage account containing the container with activity logs is encrypted with BYOK (Use Your Own Key),5.1.4,Storage account containing the container with activity logs must be encrypted with BYOK,fbb99e8e-e444-4da0-9ff1-75c92f5a85b2,This policy audits if the Storage account containing the container with activity logs is encrypted with BYOK. The policy works only if the storage account lies on the same subscription as activity logs by design. More information on Azure Storage encryption at rest can be found here https://aka.ms/azurestoragebyok .,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_StorageAccountBYOK_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that logging for Azure KeyVault is 'Enabled',5.1.5,Resource logs in Key Vault should be enabled,cf820ca0-f99e-4f3e-84fb-66e913812d21,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/KeyVault_AuditDiagnosticLog_Audit.json,4.0.1
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Create Policy Assignment,5.2.1,An activity log alert should exist for specific Policy operations,c5447c04-a4d7-4ba8-a263-c9ee321a6858,This policy audits specific Policy operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_PolicyOperations_Audit.json,3.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Delete Policy Assignment,5.2.2,An activity log alert should exist for specific Policy operations,c5447c04-a4d7-4ba8-a263-c9ee321a6858,This policy audits specific Policy operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_PolicyOperations_Audit.json,3.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Create or Update Network Security Group,5.2.3,An activity log alert should exist for specific Administrative operations,b954148f-4c11-4c38-8221-be76711e194a,This policy audits specific Administrative operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Delete Network Security Group,5.2.4,An activity log alert should exist for specific Administrative operations,b954148f-4c11-4c38-8221-be76711e194a,This policy audits specific Administrative operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Create or Update Network Security Group Rule,5.2.5,An activity log alert should exist for specific Administrative operations,b954148f-4c11-4c38-8221-be76711e194a,This policy audits specific Administrative operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that activity log alert exists for the Delete Network Security Group Rule,5.2.6,An activity log alert should exist for specific Administrative operations,b954148f-4c11-4c38-8221-be76711e194a,This policy audits specific Administrative operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Create or Update Security Solution,5.2.7,An activity log alert should exist for specific Security operations,3b980d31-7904-4bb7-8575-5665739a8052,This policy audits specific Security operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_SecurityOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Delete Security Solution,5.2.8,An activity log alert should exist for specific Security operations,3b980d31-7904-4bb7-8575-5665739a8052,This policy audits specific Security operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_SecurityOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Activity Log Alert exists for Create or Update or Delete SQL Server Firewall Rule,5.2.9,An activity log alert should exist for specific Administrative operations,b954148f-4c11-4c38-8221-be76711e194a,This policy audits specific Administrative operations with no activity log alerts configured.,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json,1.0.0
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Diagnostic logs in App Services should be enabled,b607c5de-e7d9-4eee-9e5c-83f1bcee4fa0,Audit enabling of diagnostic logs on the app. This enables you to recreate activity trails for investigation purposes if a security incident occurs or your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_AuditLoggingMonitoring_Audit.json,2.0.0
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Resource logs in Azure Data Lake Store should be enabled,057ef27e-665e-4328-8ea3-04b3122bd9fb,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Lake/DataLakeStore_AuditDiagnosticLog_Audit.json,4.0.1
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Resource logs in Azure Stream Analytics should be enabled,f9be5368-9bf5-4b84-9e0a-7850da98bb46,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Stream%20Analytics/StreamAnalytics_AuditDiagnosticLog_Audit.json,4.0.1
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Resource logs in Batch accounts should be enabled,428256e6-1fac-4f48-a757-df34c2b3336d,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Batch/Batch_AuditDiagnosticLog_Audit.json,4.0.1
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Resource logs in Data Lake Analytics should be enabled,c95c74d9-38fe-4f0d-af86-0c7d626a315c,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Lake/DataLakeAnalytics_AuditDiagnosticLog_Audit.json,4.0.1
CIS,Logging and Monitoring,Ensure that Diagnostic Logs are enabled for all services which support it.,5.3,Resource logs in Event Hub should be enabled,83a214f7-d01a-484b-91a9-ed54470c9a6a,Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised,"AuditIfNotExists, Disabled",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_AuditDiagnosticLog_Audit.json,4.0.1
